;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-10-08 00:00:00+00:00;224.76471405029298;187.26950149536134;163.08099975585938;559.8955627441406;425.69690704345703;120.31670951843262
2024-10-09 00:00:00+00:00;225.10833587646485;187.30200119018554;163.62649993896486;563.853955078125;425.4184631347656;121.10415496826172
2024-10-10 00:00:00+00:00;225.42149124145507;187.28450088500978;164.00849990844728;566.7905029296875;424.8615783691406;121.88760070800781
2024-10-11 00:00:00+00:00;225.67371368408203;187.4010009765625;164.31600036621094;570.0820037841797;424.14950408935545;122.67254676818848
2024-10-14 00:00:00+00:00;226.42189025878906;187.53350067138672;164.68400039672852;572.9390014648437;423.5407241821289;123.73697433471679
2024-10-15 00:00:00+00:00;227.27395324707032;187.5740005493164;165.0150001525879;575.4365020751953;422.72186279296875;124.53741989135742
2024-10-16 00:00:00+00:00;227.8278434753418;187.59700088500978;165.3115005493164;577.3785003662109;421.9888290405273;125.65484275817872
2024-10-17 00:00:00+00:00;227.9916633605957;187.48000106811523;165.375;578.2700012207031;420.89252319335935;126.60777702331544
2024-10-18 00:00:00+00:00;228.33128967285157;187.34950103759766;165.39550018310547;579.0260009765625;420.0387329101562;127.70770149230957
2024-10-21 00:00:00+00:00;228.83123931884765;187.10900115966797;165.53199996948243;579.5635009765625;419.30370330810547;129.08010711669922
2024-10-22 00:00:00+00:00;229.2552734375;186.89600067138673;165.69100036621094;580.4975006103516;419.22086944580076;130.21602897644044
2024-10-23 00:00:00+00:00;229.47453231811522;186.50500106811523;165.7654998779297;580.2665008544922;418.8461196899414;131.01847343444825
2024-10-24 00:00:00+00:00;229.6268653869629;186.2660011291504;165.8004997253418;580.2635009765625;418.51777801513674;131.8369171142578
2024-10-25 00:00:00+00:00;229.80766677856445;186.25900115966797;165.88550033569337;580.5580017089844;418.5242660522461;132.84384727478027
2024-10-28 00:00:00+00:00;229.82764434814453;186.36200103759765;165.94300003051757;580.8440002441406;418.3391372680664;133.79778137207032
2024-10-29 00:00:00+00:00;230.20023345947266;186.64700088500976;166.07900009155273;581.6845031738281;418.90101318359376;135.01019783020018
2024-10-30 00:00:00+00:00;230.36605072021484;187.0455009460449;166.52050018310547;582.6340026855469;419.66947479248046;136.03462715148925
2024-10-31 00:00:00+00:00;230.37803802490234;187.2675003051758;166.79449996948242;581.8745025634765;419.16099243164064;136.53009300231935
